ID," City, State",Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Acquirer & Transaction
492," Wilmington, NC",Cape Fear Bank,PR-52-2009,10-Apr-09,492,403,"First Federal Savings and Loan Association, Charleston, South Carolina, has agreed to assume all deposits, excluding certain brokered deposits."
493," Atlanta, GA",Omni National Bank,PR-50-2009,27-Mar-09,956,796.8,"SunTrust Bank, Atlanta, GA has agreed to assume the non-brokered insured deposits."
494," National Association, Paola, KS",TeamBank,PR-46-2009,20-Mar-09,669.8,492.8,"Great Southern Bank, Springfield, Missouri, has agreed to assume all deposits."
495," Stockbridge, GA",FirstCity Bank,PR-44-2009,20-Mar-09,297,278,The FDIC has approved the payout of the insured deposits of FirstCity Bank.
496," Colorado Springs, CO",Colorado National Bank,PR-045-2009,20-Mar-09,123.5,82.7,"Herring Bank, Amarillo, TX has agreed to assume all deposits."
497," Commerce, GA",Freedom Bank of Georgia,PR-37-2009,6-Mar-09,173,161,"Northeast Georgia Bank, Lavonia, Georgia has agreed to assume all deposits."
498," Henderson, NV",Security Savings Bank,PR-32-2009,27-Feb-09,238.3,175.2,"Bank of Nevada, Las Vegas, NV has agreed to assume all non-brokered deposits."
499," Glenwood, IL",Heritage Community Bank,PR-031-2009,27-Feb-09,232.9,218.6,"The MB Financial Bank, National Association, Chicago, Illinois has agreed to assume all deposits."
500," Silverton, OR",Silver Falls Bank,PR-24-2009,20-Feb-09,131.4,116.3,"Citizens Bank, Corvallis, Oregon has agreed to assume all deposits."
501," Beaverton, OR",Pinnacle Bank,PR-23-2009,13-Feb-09,73,64,"Washington Trust Bank, Spokane, WA has agreed to assume all deposits."
502," Pittsfield, IL",Corn Belt Bank and Trust Company,PR-22-2009,13-Feb-09,271.8,234.4,"The Carlinville National Bank, Carlinville, Illinois has agreed to assume all non-brokered deposits."
503," Cape Coral, FL",Riverside Bank of the Gulf Coast,PR-21-2009,13-Feb-09,539,424,"TIB Bank, Naples, Florida has agreed to assume all non-brokered deposits."
504," Loup City, NE",Sherman County Bank,PR-020-2009,13-Feb-09,129.8,85.1,"Heritage Bank, Wood River, NE has agreed to assume all deposits."
505," Merced, CA",County Bank,PR-19-2009,6-Feb-09,1700,1300,"Westamerica Bank, San Rafael, CA has agreed to assume all deposits."
506," Culver City, CA",Alliance Bank,PR-18-2009,6-Feb-09,1140,951,"California Bank & Trust, San Diego, California has agreed to assume all deposits."
507," McDonough, GA",FirstBank Financial Services,PR-17-2009,6-Feb-09,337,279,"Regions Bank, Birmingham, Alabama has agreed to assume all deposits."
508," Ocala, FL",Ocala National Bank,PR-14-2009,30-Jan-09,223.5,205.2,"CenterState Bank of Florida, Winter Haven, FL has agreed to assume all non-brokered deposits."
509," Crofton, MD",Suburban Federal Savings Bank,PR-13-2009,30-Jan-09,360,302,"Bank of Essex, Tappahannock, VA has agreed to assume all deposits."
510," Salt Lake City, UT",MagnetBank,PR-12-2009,30-Jan-09,292.9,282.8,The FDIC has approved the payout of the insured deposits of MagnetBank.
511," Redlands, CA",1st Centennial Bank,PR-7-2009,23-Jan-09,803.3,676.9,"First California Bank, Westlake Village, CA has agreed to assume the non-brokered insured deposits."
512," Vancouver, WA",Bank of Clark County,PR-6-2009,16-Jan-09,446.5,366.5,"Umpqua Bank, Roseburg, Oregon has agreed to assume the non-brokered insured deposits."
513," Berkeley, IL",National Bank of Commerce,PR-5-2009,16-Jan-09,430.9,402.1,"In addition to assuming all of the failed bank's deposits, Republic Bank of Chicago, Oak Brook, IL agreed to pay a discount of $44.9 million, and will purchase approximately $366.6 million of assets. The FDIC will retain the remaining assets for later disposition."
514," Sanderson, TX",Sanderson State Bank,PR-135-2008,12-Dec-08,37,27.9,"Pecos County State Bank, Fort Stockton, TX assumed all deposits."
515," Duluth, GA",Haven Trust Bank,PR-134-2008,12-Dec-08,572,515,"Branch Banking and Trust Company, Winston-Salem, NC assumed all deposits."
516," Jackson, GA",First Georgia Community Bank,PR-132-2008,5-Dec-08,237.5,197.4,"United Bank, Zebulon, GA assumed all deposits."
517," Pomona, CA",PFF Bank and Trust,PR-124-2008,21-Nov-08,3700,2400,"In a transaction facilitated by the FDIC, U.S. Bank, National Association, acquired the banking operations of PFF Bank and Trust, and agreed to assume all deposits."
518," F.A., Newport Beach, CA",Downey Savings and Loan Association,PR-124-2008,21-Nov-08,12800,9700,"In a transaction facilitated by the FDIC, U.S. Bank, National Association, acquired the banking operations of Downey Savings and Loan Association, and agreed to assume all deposits."
519," Loganville, GA",Community Bank,PR-123-2008,21-Nov-08,681,611.4,"Bank of Essex, Tappahannock, VA agreed to assume all deposits."
520," Los Angeles, CA",Security Pacific Bank,PR-114-2008,7-Nov-08,561.1,450.1,"Pacific Western Bank, Los Angeles, California agreed to assume all deposits."
521," SSB, Houston, TX",Franklin Bank,PR-113-2008,7-Nov-08,5100,3700,"Prosperity Bank, El Campo, TX agreed to assume all deposits."
522," Bradenton, FL",Freedom Bank,PR-109-2008,31-Oct-08,287,254,"Fifth Third Bank of Grand Rapids, MI agreed to assume all deposits."
523," Alpharetta, GA",Alpha Bank & Trust,PR-106-2008,24-Oct-08,354.1,346.2,"Stearns Bank National Association, St. Cloud, MN agreed to assume the non-brokered insured deposits."
524," Eldred, IL",Meridian Bank,PR-99-2008,10-Oct-08,39.2,36.9,"National Bank of Hillsboro, IL assumed all deposits."
525," Northville, MI",Main Street Bank,PR-98-2008,10-Oct-08,98,86,"Monroe Bank & Trust of Monroe, MI agreed to assume all deposits."
526," Henderson, NV ",Washington Mutual Bank,PR-85-2008,25-Sep-08,307000,188000,"In a transaction facilitated by the FDIC, JPMorgan Chase acquired the banking operations of Washington Mutual Bank, and agreed to assume all deposits (approximately $188 billion)."
527," Inc., Northfork, WV",Ameribank,PR-82-2008,19-Sep-08,115,102,"Pioneer Community Bank, Inc., Iaeger, West Virginia agreed to assume all deposits at Ameribank's WV branches; The Citizens Savings Bank, Martins Ferry, OH agreed to assume all deposits at Ameribank's Ohio branches."
528," Henderson, NV",Silver State Bank,PR-77-2008,5-Sep-08,2000,1700,"Nevada State Bank, Las Vegas, NV agreed to assume the non-brokered insured deposits."
529," Alpharetta, GA",Integrity Bank,PR-74-2008,29-Aug-08,1100,974,"Regions Bank, Birmingham, AL agreed to assume all deposits."
530," Topeka, KS",Columbian Bank and Trust,PR-69-2008,22-Aug-08,752,622,"Citizens Bank and Trust Company, Chillicothe, MO agreed to assume all deposits."
531," Bradenton, FL",First Priority Bank,PR-65-2008,1-Aug-08,259,227,"SunTrust Bank, Atlanta, GA agreed to assume the non-brokered insured deposits."
532," Reno, NV",First National Bank of Nevada,PR-63-2008,25-Jul-08,3400,3000,"Mutual of Omaha Bank, Omaha, Nebraska agreed to assume all deposits (approximately $3.0 billion). On June 30, 2008, First National Bank of Arizona, Scottsdale, Arizona, merged with First National Bank of Nevada and was included in this action."
533," Newport Beach, CA",First Heritage Bank National Association,PR-63-2008,25-Jul-08,254,233,"Mutual of Omaha Bank, Omaha, NE agreed to assume all deposits (approximately $233 million)."
534," F.S.B., Pasadena, CA",IndyMac Bank,PR-56-2008; PR-42-2009,11-Jul-08,32010,19060,"Non-brokered insured deposits and substantially all of the assets were transferred to IndyMac Federal Bank, F.S.B., Pasadena, California. The FDIC was named Conservator."
535," National Association, Staples, MN",First Integrity Bank,PR-41-2008,30-May-08,54.7,50.3,"First International Bank and Trust, Watford City, ND agreed to assume all deposits."
536," National Association, Bentonville, AR",ANB Financial,PR-33-2008,9-May-08,2100,1800,"Pulaski Bank and Trust Company, Little Rock, AR agreed to assume the non-brokered insured deposits (approximately $212.9 million)."
537," Hume, MO",Hume Bank,PR-21-2008,7-Mar-08,18.7,13.6,"Security Bank, Rich Hill, MO agreed to assume the insured deposits (approximately $12.5 million)."
538," Kansas City, MO",Douglass National Bank,PR-7-2008,25-Jan-08,58.5,53.8,"Liberty Bank and Trust Company of New Orleans, LA agreed to assume all deposits (approximately $53.8 million)."
539," Lakeview, OH",Miami Valley Bank,PR-83-2007,4-Oct-07,86.7,76,"The Citizens Banking Company, Sandusky, OH agreed to assume all deposits."
540," Alpharetta, GA",NetBank,PR-81-2007,28-Sep-07,2500,2300,"ING Bank, fsb (ING DIRECT) has agreed to assume $1.5 billion of the failed bank's insured non-brokered deposits."
541," Pittsburgh, PA",Metropolitan Savings,PR-9-2007,2-Feb-07,15.8,12,"Allegheny Valley Bank of Pittsburgh, PA has agreed to assume approximately $12.0 million of insured deposits."
542," Ephraim, UT",Bank of Ephraim,PR-69-2004,25-Jun-04,46.4,45.2,"Far West Bank, Provo, UT agreed to assume all deposits. (BIF)"
543," White Plains, NY",Reliance Bank,PR-24-2004,19-Mar-04,30.3,28,"Union State Bank, Orangeburg, NY agreed to assume all deposits. (BIF)"
544," Tallahassee, FL",Guaranty National Bank of Tallahassee,PR-23-2004; PR-21-2004,12-Mar-04,74.1,66.9,"Hancock Bank of Florida, Tallahassee, FL agreed to assume all deposits. (BIF)"
545, NJ,Dollar Savings Bank of Newark,PR-13-2004,14-Feb-04,12.3,9.8,The FDIC has approved the payout of the insured deposits of Dollar Savings Bank of Newark. (SAIF)
546," Philadelphia, PA",Pulaski Savings Bank,PR-107-2003,14-Nov-03,10.2,9.2,"Earthstar Bank, South Hampton, PA agreed to assume all deposits. (BIF)"
547," Blanchardville, WI",First National Bank of Blanchardville,PR-48-2003; PR-47-2003,9-May-03,35,29,"The Park Bank, Madison, WI agreed to assume all deposits. (BIF)"
548," Torrance, CA",Southern Pacific Bank,PR-11-2003,7-Feb-03,1000,864.7,"Beal Bank of Plano, TX agreed to assume all deposits. (BIF)"
549," Cheneyville, LA",Farmers Bank & Trust of Cheneyville,PR-131-2002,17-Dec-02,37,33.1,"Sabine State Bank and Trust Company, Many, LA agreed to assume all deposits.(BIF)"
550," Alamo, TN",Bank of Alamo,PR-120-2002,8-Nov-02,69.4,55.3,The FDIC has approved the payout of the insured deposits of Bank of Alamo. (BIF)
551," Atlanta, GA",AmTrade International Bank,PR-100-2002,30-Sep-02,12,10.2,The FDIC has approved the payout of the insured deposits of AmTrade International Bank. (BIF)
552," Chicago, IL",Universal Federal Savings Bank,PR-81-2002; PR-76-2002,27-Jun-02,51.6,40,"Chicago Community Bank, Chicago, IL agreed to assume all deposits. (SAIF)"
553," Stamford, CT",Connecticut Bank of Commerce,PR-80-2002; PR-74-2002,26-Jun-02,398.6,323.7,"Hudson United Bank, Mahwah, NJ agreed to assume all deposits. (BIF)"
554," Shelby Township, MI",New Century Bank,PR-38-2002,28-Mar-02,19,18,The FDIC has approved the payout of the insured deposits of New Century Bank. (BIF)
555," Boca Raton, FL",Net 1st National Bank,PR-26-2002,1-Mar-02,34.7,23.9,"Bank Leumi USA of New York, NY agreed to assume all deposits. (BIF)"
556," National Association, Phoenix, AZ",NextBank,PR-16-2002,7-Feb-02,700,554,"The FDIC has approved the payout of the insured deposits of NextBank, N.A. (BIF)"
557," Oakwood, OH",Oakwood Deposit Bank Company,PR-11-2002; PR-10-2002,1-Feb-02,72.3,60.2,"The State Bank and Trust Company of Defiance, OH agreed to assume all deposits. (BIF)"
558," Sierra Blanca, Texas",Bank of Sierra Blanca,PR-5-2002,18-Jan-02,10.8,9.8,"The Security State Bank of Pecos, Pecos, TX greed to assume all deposits. (BIF)"
559," National Association, Miami, FL",Hamilton Bank,PR-3-2002,11-Jan-02,1300,1200,"Israel Discount Bank of New York, New York, NY greed to assume all deposits. (BIF)"
560," Gravette, AR",Sinclair National Bank,PR-63-2001,7-Sep-01,30.7,25.7,"Delta Trust and Bank, Parkdale, AR agreed to assume all insured deposits. (BIF)"
561," FSB, Hinsdale, IL",Superior Bank,PR-52-2001,27-Jul-01,2300,1600,"The Federal Deposit Insurance Corporation today transferred the insured deposits and substantially all the assets of Superior Bank, FSB, Hinsdale, IL, to Superior Federal, FSB (New Superior), a newly chartered, full-service mutual savings bank. The bank was closed earlier today by the Office of Thrift Supervision, and the FDIC was named conservator. (SAIF)"
562," Malta, OH",The Malta National Bank,PR-32-2001,3-May-01,9.5,8.8,"North Valley Bank, Zanesville, OH agreed to assume all deposits. (BIF)"
563," Manchester, NH",First Alliance Bank & Trust Company,PR-11-2001,2-Feb-01,18.4,17.5,"Southern New Hampshire Bank and Trust Company, Salem, NH agreed to assume all deposits."
