ID," City, State",Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Acquirer & Transaction
248," Ponte Vedra Beach, FL",Haven Trust Bank Florida,PR-214-2010,24-Sep-10,148.6,133.6,"First Southern Bank, Boca Raton, FL has agreed to assume all deposits excluding certain brokered deposits."
249," West Allis, WI",Maritime Savings Bank,PR-210-2010,17-Sep-10,350.5,248.1,"North Shore Bank, FSB, Brookfield, WI has agreed to assume all deposits excluding certain brokered deposits."
250," Milford, OH",Bramble Savings Bank,PR-209-2010,17-Sep-10,47.5,41.6,"Foundation Bank, Cincinnati, OH has agreed to assume all deposits excluding certain brokered deposits."
251," Winder, GA",The Peoples Bank,PR-208-2010,17-Sep-10,447.2,398.2,"Community & Southern Bank, Carrollton, GA has agreed to assume all deposits excluding certain brokered deposits."
252," Douglasville, GA",First Commerce Community Bank,PR-208-2010,17-Sep-10,248.2,242.8,"Community & Southern Bank, Carrollton, GA has agreed to assume all deposits excluding certain brokered deposits."
253," Ellijay, GA",Bank of Ellijay,PR-208-2010,17-Sep-10,168.8,160.7,"Community & Southern Bank, Carrollton, GA has agreed to assume all deposits."
254," Cherry Hill, NJ",ISN Bank,PR-207-2010,17-Sep-10,81.6,79.7,"New Century Bank, Phoenixville, PA has agreed to assume all deposits excluding certain brokered deposits."
255," Bradenton, FL",Horizon Bank,PR-205-2010,10-Sep-10,187.8,164.6,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits excluding certain brokered deposits."
256," Sonoma, CA",Sonoma Valley Bank,PR-196-2010,20-Aug-10,337.1,255.5,"Westamerica Bank, San Rafael, CA has agreed to assume all deposits."
257," Solvang, CA",Los Padres Bank,PR-195-2010,20-Aug-10,870.4,770.7,"Pacific Western Bank, San Diego, CA has agreed to assume all deposits."
258," Chico, CA",Butte Community Bank,PR-194-2010,20-Aug-10,498.8,471.3,"Rabobank, National Association, El Centro, CA has agreed to assume all deposits."
259," Stockton, CA",Pacific State Bank,PR-194-2010,20-Aug-10,312.1,278.8,"Rabobank, National Association, El Centro, CA has agreed to assume all deposits, excluding certain brokered deposits."
260," Chicago, IL",ShoreBank,PR-193-2010,20-Aug-10,2160,1540,"Urban Partnership Bank, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
261," Martinsville, VA",Imperial Savings and Loan Association,PR-192-2010,20-Aug-10,9.4,10.1,"River Community Bank, National Association (N.A), Martinsville, VA has agreed to assume all deposits."
262," Ocala, FL",Independent National Bank,PR-191-2010,20-Aug-10,156.2,141.9,"CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits."
263," Bartow, FL",Community National Bank at Bartow,PR-191-2010,20-Aug-10,67.9,63.7,"CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits, excluding certain brokered deposits."
264," Palos Heights, IL",Palos Bank and Trust Company,PR-189-2010,13-Aug-10,493.4,467.8,"First Midwest Bank, Itasca, IL has agreed to assume all deposits."
265," Chicago, IL",Ravenswood Bank,PR-181-2010,6-Aug-10,264.6,269.5,"Northbrook Bank and Trust Company, Northbrook, IL has agreed to assume all deposits, excluding certain brokered deposits."
266," Eugene, OR",LibertyBank,PR-176-2010,30-Jul-10,768.2,718.5,"Home Federal Bank, Nampa, ID has agreed to assume all deposits."
267," Longview, WA",The Cowlitz Bank,PR-175-2010,30-Jul-10,529.3,513.9,"Heritage Bank, Olympia, WA has agreed to assume all deposits, excluding certain brokered deposits."
268," Panama City Beach, FL",Coastal Community Bank,PR-174-2010,30-Jul-10,372.9,363.2,"Centennial Bank, Conway, AR has agreed to assume all deposits."
269," Port Saint Joe, FL",Bayside Savings Bank,PR-174-2010,30-Jul-10,66.1,52.4,"Centennial Bank, Conway, AR has agreed to assume all deposits."
270," Acworth, GA",NorthWest Bank and Trust,PR-172-2010,30-Jul-10,167.7,159.4,"State Bank and Trust Company, Macon Georgia, has agreed to assume all deposits, excluding certain brokered deposits."
271," Cave Junction, OR",Home Valley Bank,PR-169-2010,23-Jul-10,251.8,229.6,"South Valley Bank & Trust, Klamath Falls, OR has agreed to assume all deposits."
272," Las Vegas, NV",SouthwestUSA Bank,PR-168-2010,23-Jul-10,214,186.7,"Plaza Bank, Irvine, CA has agreed to assume all deposits, excluding certain brokered deposits."
273," New Prague, MN",Community Security Bank,PR-167-2010,23-Jul-10,108,99.7,"Roundbank, Waseca, MN has agreed to assume all deposits."
274," Sylvan Grove, KS",Thunder Bank,PR-166-2010,23-Jul-10,32.6,28.5,"The Bennington State Bank, Salina, KS has agreed to assume all deposits, excluding certain brokered deposits."
275," Kingstree, SC",Williamsburg First National Bank,PR-165-2010,23-Jul-10,139.3,134.3,"First Citizens Bank and Trust Company, Inc., Columbia, SC has agreed to assume all deposits, excluding certain brokered deposits."
276," Jasper, GA",Crescent Bank and Trust Company,PR-164-2010,23-Jul-10,1010,965.7,"The Renasant Bank, Tupelo, MS has agreed to assume all deposits, excluding certain brokered deposits."
277," Lantana, FL",Sterling Bank,PR-163-2010,23-Jul-10,407.9,372.4,"IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits."
278," FSB, Hastings, MI",Mainstreet Savings Bank,PR-159-2010,16-Jul-10,97.4,63.7,"Commercial Bank, Alma, MI has agreed to assume all deposits."
279," Clewiston, FL",Olde Cypress Community Bank,PR-158-2010,16-Jul-10,168.7,162.4,"CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits, excluding certain brokered deposits."
280," Aventura, FL",Turnberry Bank,PR-157-2010,16-Jul-10,263.9,196.9,"NAFH National Bank, Miami, FL has agreed to assume all deposits."
281," Miami, FL",Metro Bank of Dade County,PR-157-2010,16-Jul-10,442.3,391.3,"NAFH National Bank, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits."
282," Spartanburg, SC",First National Bank of the South,PR-157-2010,16-Jul-10,682,610.1,"NAFH National Bank, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits."
283," Bluffton, SC",Woodlands Bank,PR-156-2010,16-Jul-10,376.2,355.3,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits, excluding certain brokered deposits."
284," Blackwell, OK",Home National Bank,PR-152-2010,9-Jul-10,644.5,560.7,"RCB Bank, Claremore, OK has agreed to assume all deposits."
285," Port Chester, NY",USA Bank,PR-151-2010,9-Jul-10,193.3,189.9,"The FDIC entered into a purchase and assumption agreement with New Century Bank (doing business as Customer's 1st Bank), Phoenixville, PA, to assume all of the deposits of USA Bank."
286," Baltimore, MD",Ideal Federal Savings Bank,PR-150-2010,9-Jul-10,6.3,5.8,The FDIC has approved the payout of the insured deposits of Ideal Federal Savings Bank.
287," Baltimore, MD",Bay National Bank,PR-149-2010,9-Jul-10,282.2,276.1,"To protect the depositors, the FDIC entered into a purchase and assumption agreement with Bay Bank, FSB, Lutherville, MD, to assume all of the deposits of Bay National Bank."
288," Albuquerque, NM",High Desert State Bank,PR-145-2010,25-Jun-10,80.3,81,"First American Bank, Artesia, NM, has agreed to assume all deposits."
289," Savannah, GA",First National Bank,PR-144-2010,25-Jun-10,252.5,231.9,"The Savannah Bank, National Association, Savannah, GA has agreed to assume all deposits, excluding certain brokered deposits."
290," Englewood, FL",Peninsula Bank,PR-143-2010,25-Jun-10,644.3,580.1,"Premier American Bank, Miami, FL has agreed to assume all deposits excluding certain brokered deposits."
291," Reno, NV",Nevada Security Bank,PR-137-2010,18-Jun-10,480.3,479.8,"Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits."
292," Seattle, WA",Washington First International Bank,PR-133-2010,11-Jun-10,520.9,441.4,"East West Bank, Pasadena, CA has agreed to assume all deposits."
293," Lincoln, NE",TierOne Bank,PR-132-2010,4-Jun-10,2800,2200,"Great Western Bank, Sioux Falls, SD has agreed to assume all deposits."
294," Arcola, IL",Arcola Homestead Savings Bank,PR-131-2010,4-Jun-10,17,18.1,The FDIC has approved the payout of the insured deposits of Arcola Homestead Savings Bank.
295," Rosedale, MS",First National Bank,PR-130-2010,4-Jun-10,60.4,63.5,"Jefferson Bank, Fayette, MS has agreed to assume all deposits."
296," Las Vegas, NV",Sun West Bank,PR-127-2010,28-May-10,360.7,353.9,"City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits."
297," NA, Granite Bay, CA",Granite Community Bank,PR-126-2010,28-May-10,102.9,94.2,"Tri Counties Bank, Chico, CA has agreed to assume all deposits."
298," Tampa, FL",Bank of Florida - Tampa Bay,PR-125-2010,28-May-10,245.2,224,"EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits."
299," Naples, FL",Bank of Florida - Southwest,PR-125-2010,28-May-10,640.9,559.9,"EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits."
300," Fort Lauderdale, FL",Bank of Florida - Southeast,PR-125-2010,28-May-10,595.3,531.7,"EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits."
301," St. Paul, MN",Pinehurst Bank,PR-118-2010,21-May-10,61.2,58.3,"Coulee Bank, La Crosse, WI has agreed to assume all deposits."
302," Elmwood Park, IL",Midwest Bank and Trust Company,PR-116-2010,14-May-10,3170,2420,"FirstMerit Bank, National Association, Akron, OH has agreed to assume all deposits."
303," Springfield, MO",Southwest Community Bank,PR-115-2010,14-May-10,96.6,102.5,"Simmons First National Bank, Pine Bluff, AR has agreed to assume all deposits."
304," Plymouth, MI",New Liberty Bank,PR-114-2010,14-May-10,109.1,101.8,"Bank of Ann Arbor, Ann Arbor, MI has agreed to assume all deposits, excluding certain brokered deposits."
305," Saint Marys, GA",Satilla Community Bank,PR-113-2010,14-May-10,135.7,134,"Ameris Bank, Moultrie, GA has agreed to assume all deposits, excluding certain brokered deposits."
306," San Diego, CA",1st Pacific Bank of California,PR-109-2010,7-May-10,335.8,291.2,"City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits."
